type,b_price,b_amount,type,s_price,s_amount
b,9590,0.749,s,9599,2
b,9588,0.172,s,9599.1,0.04
b,9587.2,0.307,s,9599.8,1.815
b,9587.1,0.108,s,9599.9,0.681
b,9587,0.04,s,9600,0.053
b,9585.6,0.25,s,9600.1,2.414
b,9585.3,0.511,s,9600.2,3
b,9583.6,2.482,s,9600.4,2.734
b,9581.5,3.123,s,9601,0.006
b,9581,1.154,s,9601.2,1.756
b,9580.5,1.676,s,9602.3,0.251
b,9580.4,2.667,s,9602.4,4.578
b,9580,0.06,s,9602.6,0.485
b,9578.3,5.251,s,9603,2.1
b,9578.1,0.021,s,9604,0.411
b,9577.7,0.834,s,9605,0.562
b,9575.6,6.296,s,9605.9,3.102
b,9575.5,0.8,s,9606.6,1.93
b,9575.4,1.204,s,9606.8,0.216
b,9575,0.204,s,9609.4,0.079
b,9574.4,6.105,s,9610.8,5
b,9573.7,0.352,s,9613.3,5.008
b,9572.5,0.2,s,9613.4,5
b,9571.6,0.117,s,9613.9,0.426
b,9571.5,5,s,9616.1,0.398
b,9571.1,2,s,9616.5,5
b,9570.8,5.17,s,9617.8,0.004
b,9568.8,0.1,s,9620,0.098
b,9568.1,0.019,s,9620.1,1.2
b,9567.7,0.009,s,9623.8,0.079
b,9567.5,5.517,s,9625.8,4.247
b,9567,0.2,s,9625.9,3.84
b,9566.9,0.375,s,9626,2
b,9564.2,0.004,s,9626.1,2.5
b,9560.2,0.02,s,9626.2,9.021
b,9560,0.134,s,9627.7,0.105
b,9559.9,0.316,s,9627.8,0.625
b,9559,0.075,s,9628.5,0.513
b,9558.7,0.006,s,9630.4,0.005
b,9555.3,4.783,s,9630.8,0.734
b,9555.2,9,s,9633.2,0.25
b,9555,1.2,s,9636.6,2.86
b,9553.6,0.098,s,9636.7,2.95
b,9553.5,0.004,s,9637.2,5
b,9550,0.257,s,9638.1,0.009
b,9548.4,0.625,s,9638.2,0.079
b,9546.9,1.05,s,9639,1
b,9546.7,39.125,s,9639.2,0.004
b,9546.6,2.1,s,9641.4,0.024
b,9542.8,0.004,s,9641.7,6
b,9540.1,4.027,s,9643.5,1.05
b,9540,0.06,s,9649.3,0.8
b,9539,0.955,s,9650,0.254
b,9538.3,0.004,s,9657.4,1.11
b,9532.1,0.004,s,9659,0.35
b,9532,0.075,s,9660.9,9
b,9531,0.017,s,9666.4,2.005
b,9527,3.524,s,9666.5,39.125
b,9525.9,3.38,s,9675,1.22
b,9522,0.1,s,9680,0.06
b,9521.4,0.004,s,9685.3,0.14
b,9520,0.06,s,9685.8,0.25
b,9516.2,4.01,s,9687,0.45
b,9516.1,3.16,s,9689.9,0.322
b,9516,0.05,s,9690,0.001
b,9515.8,11.976,s,9693,11.8
b,9515.5,0.006,s,9693.2,0.01
b,9510.7,0.004,s,9693.3,0.01
b,9505,2.128,s,9695,0.1
b,9501,0.053,s,9696,0.01
b,9500.1,0.003,s,9696.8,0.01
b,9500,5.585,s,9697,1.07
b,9494,1,s,9699,0.802
b,9492.7,0.068,s,9699.9,2.21
b,9488,2.513,s,9700,10.374
b,9484.6,0.014,s,9701,0.017
b,9483.9,0.004,s,9704,0.06
b,9480,0.074,s,9705.1,0.01
b,9477,0.5,s,9705.9,0.01
b,9475,3.053,s,9706.1,0.369
b,9474.3,0.017,s,9708,0.227
b,9468,0.55,s,9709.8,0.01
b,9467,1.15,s,9711,1
b,9460,0.5,s,9712,0.026
b,9455,0.06,s,9712.1,0.1
b,9451,0.053,s,9716.6,10.15
b,9450,1.655,s,9716.7,0.01
b,9446.8,8.889,s,9719.4,11.976
b,9445,0.023,s,9719.9,1
b,9438,7.981,s,9720,1.174
b,9436,0.5,s,9724.1,0.164
b,9433,0.2,s,9724.5,0.103
b,9432.9,3.579,s,9725,0.052
b,9431.4,0.2,s,9726.1,0.05
b,9430,6,s,9727.3,0.05
b,9425.7,0.42,s,9728,2.325
b,9425.1,0.5,s,9729,0.006
b,9425,0.054,s,9730,0.066
b,9421.5,0.055,s,9732,0.003
b,9419,0.2,s,9735,0.23
b,9417.6,0.017,s,9735.9,2.21
b,9417.1,0.006,s,9741,0.02
b,9411.5,0.01,s,9742.6,0.01
b,9411,15.282,s,9743,0.15
b,9410,0.09,s,9744.6,0.01
b,9407.7,0.318,s,9744.7,0.01
b,9405,0.531,s,9745,1.15
b,9401,0.054,s,9747,2.131
b,9400.1,0.003,s,9750,1.348
b,9400,16.651,s,9750.8,0.01
b,9391.1,0.002,s,9752.3,0.01
b,9390,0.28,s,9755.5,0.01
b,9389.1,0.268,s,9756,0.279
b,9389,0.011,s,9757,0.024
b,9386,0.5,s,9757.6,0.017
b,9385.9,9,s,9758.5,0.01
b,9385,1,s,9760,0.059
b,9383.3,0.1,s,9767,0.008
b,9382,0.38,s,9770,4.095
b,9381.1,0.002,s,9772.2,0.01
b,9380,5.87,s,9772.4,8.03
b,9379,0.003,s,9773,2
b,9377,15.282,s,9774,0.1
b,9375,0.054,s,9775,0.052
b,9371.2,0.002,s,9776.9,0.01
b,9371.1,0.002,s,9777,2.218
b,9370,2,s,9779,0.01
b,9365,5,s,9780,0.973
b,9361.1,0.002,s,9785,0.5
b,9361,0.017,s,9787.8,0.01
b,9360.7,3.422,s,9788,6.142
b,9360,1,s,9790,8.943
b,9357,1,s,9791,21
b,9356,0.5,s,9792.3,0.03
b,9354,0.1,s,9792.4,0.02
b,9351.1,0.002,s,9792.6,0.03
b,9351,0.503,s,9792.7,0.02
b,9350,7.091,s,9793,1.404
b,9344.6,0.002,s,9793.5,0.01
b,9343,9.719,s,9793.9,0.02
b,9341.1,0.002,s,9794,0.01
b,9340,6.299,s,9794.4,0.01
b,9338,15,s,9794.7,0.01
b,9337.1,7.996,s,9794.8,0.645
b,9336.7,0.7,s,9794.9,0.01
b,9333.3,0.5,s,9795,0.49
b,9331.1,0.002,s,9795.1,0.02
b,9331,0.108,s,9795.2,0.01
b,9330.1,0.02,s,9795.9,0.01
b,9330,7.154,s,9796,0.18
b,9328.6,0.004,s,9796.1,0.02
b,9327,1,s,9796.2,0.01
b,9326,0.3,s,9796.5,0.01
b,9325.5,0.321,s,9797,0.07
b,9325,0.054,s,9798,1.02
b,9323.9,0.2,s,9798.4,0.01
b,9322,1,s,9798.6,0.06
b,9321.1,0.002,s,9798.8,0.003
b,9321,1,s,9799,0.617
b,9320,5.2,s,9800,15.223
b,9315,1,s,9800.3,0.5
b,9312.6,5.85,s,9801.7,0.003
b,9312.1,0.3,s,9802,0.05
b,9310,6.1,s,9804.3,0.01
b,9309.1,0.045,s,9805,0.8
b,9308.7,0.102,s,9807,0.5
b,9306,0.2,s,9808,3.349
b,9305.7,0.002,s,9810,5.073
b,9305,0.05,s,9812,0.08
b,9303,0.1,s,9813,0.035
b,9302.6,0.01,s,9814.3,0.017
b,9302.2,0.2,s,9818,0.2
b,9302,0.033,s,9818.2,0.01
b,9301.6,0.02,s,9819,0.528
b,9301.5,0.01,s,9819.7,0.01
b,9301.1,0.01,s,9819.8,0.02
b,9301,0.758,s,9820,5.086
b,9300.7,1.02,s,9820.5,0.03
b,9300.1,0.003,s,9822,0.95
b,9300,66.841,s,9823,0.064
b,9299,2,s,9824,2
b,9297.2,0.125,s,9825,0.301
b,9291.9,0.02,s,9826,0.01
b,9290.9,0.02,s,9826.1,0.02
b,9290.5,0.02,s,9826.6,0.01
b,9290,5.001,s,9830,5
b,9288.6,7.098,s,9831,0.003
b,9288,1,s,9831.1,0.021
b,9283.1,15.1,s,9831.2,0.01
b,9283,0.05,s,9835,3.221
b,9282.2,0.02,s,9838,0.23
b,9281.2,0.02,s,9840,8.316
b,9281,2.52,s,9841,0.01
b,9280,0.987,s,9843,0.3
b,9279.8,0.4,s,9843.7,0.011
b,9279,0.1,s,9844,1.15
b,9277.1,1.55,s,9844.8,0.2
b,9277,0.27,s,9845,6.251
b,9275.8,0.002,s,9845.7,7.981
b,9275.2,50,s,9847.7,0.025
b,9275,0.154,s,9849,0.003
b,9274,1,s,9850,19.489
b,9273.7,0.008,s,9853,0.013
b,9273.6,15.01,s,9855.3,0.037
b,9272.5,0.02,s,9855.5,0.01
b,9271.5,0.02,s,9856,0.035
b,9271.4,0.02,s,9857,0.9
b,9270,6.129,s,9858,0.75
b,9269.9,0.01,s,9860,0.011
b,9269.7,1,s,9863,0.05
b,9269.6,0.381,s,9870,0.602
b,9268,0.7,s,9870.7,0.008
b,9267,0.005,s,9871,0.017
b,9266,0.25,s,9871.5,0.284
b,9262.4,0.03,s,9875,0.051
b,9262,0.02,s,9875.7,0.25
b,9261.7,0.02,s,9876,0.01
b,9261.1,0.01,s,9876.2,6.85
b,9261,0.1,s,9877,0.01
b,9260,0.001,s,9878,0.22
b,9256,2.26,s,9878.4,0.083
b,9255,2.702,s,9880,0.413
b,9254,0.02,s,9880.2,3.82
b,9252.5,0.02,s,9881.8,0.025
b,9252,0.256,s,9882.1,0.35
b,9251.9,0.344,s,9882.7,0.045
b,9251,1.552,s,9887.1,0.04
b,9250,24.299,s,9888,0.2
b,9249,1,s,9889,0.3
b,9248,0.217,s,9890,1.2
b,9247,1,s,9891.4,0.003
b,9246.8,5,s,9892.9,1.286
b,9246,1.11,s,9893,1
b,9245,0.04,s,9895,1.646
b,9244,0.1,s,9897,0.07
b,9243,0.02,s,9898,1
b,9242.2,0.01,s,9898.7,0.4
b,9240,0.501,s,9899,2.102
b,9237,1.085,s,9900,5.386
b,9235.9,0.5,s,9900.4,0.5
b,9235,1,s,9900.9,0.003
b,9233.5,0.02,s,9904,8.996
b,9232.4,0.01,s,9905,0.6
b,9230,5.951,s,9907.1,15.1
b,9229.9,0.01,s,9908.3,0.345
b,9229.4,0.03,s,9917,5
b,9229,0.1,s,9918,0.164
b,9228.9,0.028,s,9920,5
b,9227,0.04,s,9920.1,0.025
b,9226.7,0.05,s,9924,0.113
b,9226.4,0.017,s,9925,0.551
b,9226,0.03,s,9926,0.315
b,9225.2,0.1,s,9926.5,15.01
b,9225,1.575,s,9929.1,0.036
b,9224,0.02,s,9936,2
b,9222.7,0.01,s,9940,3
b,9222.2,0.05,s,9940.8,0.032
